familär	familial
Wie jedes Jahr gibt es wieder ein großes Familientreffen.	Comme tous les ans, il y aura une grande réunion familiale.

die Familie	la famille
die Großfamilie	la grande famille
der Papa	le papa
die Mutti	la maman
die Geschwister	les frères et sœurs
der Opa	le papi
die Oma	la mamie

zusammenleben	vivre ensemble
Sie leben seit zehn Jahren zusammen aber sind nicht verheiratet.	Ils vivent ensemble depuis dix ans mais ne sont pas mariés.

sich kümmern um	s'occuper de
Er kümmert sich um seine alten Eltern.	Il s'occupe de ses parents âgés.

die Liebe	l'amour
Kann man ohne Liebe leben?	Est-ce qu'on peut vivre sans amour?

lieben	aimer
Ich liebe dich seit dem ersten Tag.	Je t'aime depuis le premier jour.

sich lieben	s'aimer
Sie lieben sich und glauben alles voneinander zu wissen.	Ils s'aiment et pensent tout savoir l'un de l'autre.

der Hass	le haine
Ich habe keinen Hass auf ihn. Das verdient er nicht.	Je ne sens pas de haine contre lui; il n'en mérite pas.

hassen	haïr
Ich hasse ihn nicht, obwohl er mir so viel Leid angetan hat.	Je ne le hais pas, malgré tout le mal qu'il m'a fait.

verliebt	amoureux / amourese
Er ist in Anne verliebt.	Il est amoureux d'Anne.

sich verlieben	tomber amoureux
Sie hat sich in den Freund ihres Bruders verliebt.	Elle est tombée amoureuse de l'ami de son frère.

der Kuss	le baiser
Den ersten Kuss vergisst man nie.	Le premier baiser, c'est celui qu'on n'oublie jamais.

küssen	embrasser
Er hat sie mit geschlossenen Augen geküsst.	Il l'a embrassée les yeux fermés.

umarmen	prendre dans ses bras
Nachdem er sie geküsst hatte, umarmte er sie zärtlich.	Après l'avoir embrassée, il l'a prise tendrement dans ses bras.

die Hochzeit	le mariage
Mein Bruder wollte keine kirchliche Hochzeit.	Mon frère ne voulait pas de mariage à l'église.

heiraten	se marier
Pierre und seine Braut haben gespart, um heiraten zu können.	Pierre et sa fiancée ont fait des économies pour se marier.

der Ehemann	le mari
Jules ist Gisèles Ehemann.	Jules est le mari de Gisèle.

die Ehefrau	la femme
Gisèle ist die Ehefrau von Jules.	Gisèle es la femme de Jules.

das Ehepaar	le ménage
Das junge Ehepaar wohnt im Haus der Schwiegereltern.	Le jeune ménage habite dans la maison des beaux-parents.

treu	fidèle
Ich habe Sophie versprochen, ihr treu zu sein.	J'ai promis à Sophie de lui être fidèle.

untreu	infidèle
Sie hat schrecklich darunter gelitten, dass ihr Mann untreu ist.	Elle a terriblement souffert d'avoir un mari infidèle.

die Verlobung	les fiançailles
Unsere Nachbarn haben ein großes Fest zu ihrer Verlobung gegeben.	Nos voisins ont organisé une grande fête pour leurs fiançailles.

verlobt	fiancé / fiancée
Meine Schwester ist seit drei Monaten verlobt.	Ma sœur est fiancée depuis trois mois.

die Trennung	la séparation
Oft geht eine Trennung von Mann und Frau der Scheidung voraus.	La séparation entre mari et femme précède souvent le divorce.

sich trennen	se séparer
Wir haben uns getrennt, aber wir sind gute Freunde geblieben.	Nous nous sommes séparés, mais nous sommes restés bons amis.

die Freundschaft	l'amitié
Die EU basiert auf der deutsch-französischen Freundschaft.	L'UE s'appuie sur l'amitié franco-allemande.

Wir sind alte Freunde.	Nous sommes de vieux amis.

der Kumpel / Lover	le copain
die Freundin / Kumpel / Geliebte	la copine
Er hat jeden Monat eine neue Freundin.	Il change de copine tous les mois.

persönlich	personnel
Kann ich dir eine sehr persönliche Frage stellen?	Est-ce que je peux te poser une question très personnelle?

die Leute	les gens
Am Samstag sind immer viele Leute in der Stadt.	Le samedi, il y a beaucoup de gens en ville.

gemeinsam	commun / commune
Dieses Volk macht gemeinsame Sache mit den Terroristen.	Ce peuple fait cause commune avec les terroristes.

das Mitglied	le membre
Am Anfang hatte unser Tennisverein zwanzig Mitglieder.	Au début, notre club de tennis avait vingt membres.

der Nachbar	le voisin
Meine Nachbarin ist sehr neugierig und will immer alles wissen.	Ma voisine est très curieuse et veut toujours tout savoir.

der Typ / der Kerl	le type
Unser Mathelehrer ist ein sehr sympathischer Typ.	Notre prof de math, c'est un type très sympa.

das Treffen	la rencontre
Ich habe Jean auf einem internationalen Treffen kennen gelernt.	J'ai fait la connaissance de Jean lors d'une rencontre internationale.

treffen	rencontrer
Wenn ich Freunde treffe, unterhalten wir uns über dies und das.	Quan je rencontre des copains, on parle de choses et d'autres.

die Versammlung	la réunion
Ich möchte Sie alle zu unserer jährlichen Versammlung einladen.	J'aimerais vous inviter tous à notre réunion annuelle.

die Verabredung	le rendez-vous
Wir hatten eine Verabredung, aber sie ist nicht gekommen.	Nous avions rendez-vous, mais elle n'est pas venue.

sich verabreden	prendre rendez-vous
Wir haben uns verabredet, um in der Stadt Besorgungen zu machen.	Nous avons pris rendez-vous pour faire des courses en ville.

teilnehmen	participer
Ich nehme jedes Jahr an den Feiern zum 14. Juli teil.	Tous les ans, je participe aux fêtes du 14 juillet.

der Gast	l'invité
Auf meiner Hochzeit waren mehr als hundert Gäste.	À mon mariage, il y avait plus de cent invités.

einladen	invitier
Das ist nett, dass du mich zu deinem Geburtstag einlädst.	C'est gentil de m'inviter à ton anniversaire.

besuchen	aller voir
Ich besuche meine Großeltern jeden Sonntag.	Je vais voir mes grands-parents tous les dimanches.

besuchen	rendre visite
Ihr habt mich schon lange nicht mehr besucht.	Cela fait longtemps que vous ne m'avez pas rendu visite. 

vorbeikommen	passer
Er kommt jeden Tag bei mir vorbei und bringt mir die Zeitung.	Il passe tous les jours chez moi m'apporte le journal.

der Bekannte / die Bekanntschaft	la connaissance
Das ist eine alte Bekannte, die ich gestern wiedergetroffen habe.	C'est une vielle connaissance que j'ai revue hier.

der Kontakt	le contact
Ich bin mit meinem ersten Brieffreund in Kontakt geblieben.	Je suis resté en contact avec mon premier correspondant.

kontaktieren	contacter
Ich kontaktiere ihn am Ende der Ferien.	Je le contacterai à la fin des vacances.

der Freundeskreis	le groupe d'amis
Mein Sohn ist schwierig, aber er hat einen guten Freundeskreis.	Mon fils est difficile, mais il a un bon groupe d'amis.

befreundet sein	être ami
Ich bin mit meinen Kollegen vom Büro befreundet.	Je suis ami avec mes collègues de bureau.


